items,initial_acc,final_acc,delta_acc,mean_turns,acc_per_1k_tokens,type,run,error
100,,0.25,,1.0,,self_correction,baseline_math100.jsonl,
20,0.2,0.3,0.0999999999999999,2.5,,teacher_learner,experiment_fresh_math20.json,
20,,0.15,,1.0,,self_correction,fresh_baseline_math20.jsonl,
100,0.28,0.32,0.0399999999999999,2.41,,teacher_learner,teacher_learner_math100.json,
20,0.2,0.3,0.0999999999999999,2.5,,teacher_learner,teacher_learner_validation.json,
1364,,0.176,,,,teacher_learner,teacher_learner_full1364.json,
1365,,0.304,,1.0,,self_correction,baseline_full1364.jsonl,
